,state,tot_cases,new_case,tot_death
289,TX,1168925,13598.0,20296
290,NV,284590,548.0,4522
291,HI,14501,89.0,211
292,MO,135651,1068.0,2236
293,VT,1616,27.0,58
294,NJ,0,0.0,0
295,IN,25473,346.0,1619
296,KY,29386,659.0,731
297,PA,38652,1599.0,1492
298,SC,266669,2944.0,4980
299,MS,223677,1616.0,4884
300,SD,28,7.0,1
301,SD,21997,259.0,223
302,AL,0,0.0,0
303,OK,565,84.0,23
304,MP,22,0.0,2
305,SD,9605,128.0,146
306,ME,8944,153.0,165
307,VA,510380,2740.0,6517
308,WI,4620,121.0,242
309,NJ,0,0.0,0
310,DE,55057,584.0,897
311,WI,5,2.0,0
312,IN,0,0.0,0
313,RMI,0,0.0,0
314,NY,193028,267.0,8879
315,NY,627340,12548.0,13551
316,ME,3975,5.0,123
317,WA,55803,808.0,1564
318,NV,17397,821.0,522
319,RMI,0,0.0,0
320,ME,6387,76.0,146
321,GA,322650,1385.0,6604
322,FL,1637296,9466.0,25673
323,WY,4346,49.0,42
324,MD,27117,709.0,1390
325,RMI,0,0.0,0
326,WY,53683,0.0,662
327,WI,20571,322.0,645
328,OH,23697,681.0,1331
329,CA,64561,2049.0,2678
330,AS,3,0.0,0
331,RMI,4,0.0,0
332,NJ,736330,3656.0,22329
333,MD,69904,272.0,3246
334,NYC,206322,476.0,22076
335,RI,1414,244.0,30
336,WY,10119,271.0,68
337,DE,18308,0.0,609
338,ID,32927,263.0,372
339,OK,77208,869.0,905
340,KS,36856,0.0,419
341,CT,33554,570.0,2967
342,VI,1538,0.0,23
343,IL,863477,7359.0,15587
344,OK,416213,1111.0,4034
345,WY,669,7.0,7
346,NM,2823,97.0,104
347,MT,98100,200.0,1337
348,CA,757778,2855.0,14385
349,VA,288309,3160.0,4470
350,LA,190,53.0,4
351,UT,3782,60.0,39
352,CT,68099,2047.0,4589
353,NY,225406,848.0,9117
354,RMI,4,0.0,0
355,NH,0,0.0,0
356,KS,56592,0.0,632
357,RI,92708,4759.0,1855
358,NY,189866,359.0,8841
359,FSM,0,0.0,0
360,OK,31,12.0,0
361,TX,1296972,18540.0,21549
362,AK,300,7.0,9
363,TX,2392443,31811.0,36539
364,OR,0,0.0,0
