,submission_date,state,tot_cases,tot_death
590,2020-05-04T00:00:00.000,FSM,0,0
225,2020-05-01T00:00:00.000,FSM,0,0
705,2020-04-06T00:00:00.000,FSM,0,0
746,2020-03-15T00:00:00.000,FSM,0,0
437,2020-07-17T00:00:00.000,FSM,0,0
692,2020-03-31T00:00:00.000,FSM,0,0
754,2020-05-16T00:00:00.000,FSM,0,0
883,2021-02-16T00:00:00.000,FSM,1,0
156,2020-11-04T00:00:00.000,FSM,0,0
50,2021-01-30T00:00:00.000,FSM,1,0
650,2020-03-20T00:00:00.000,FSM,0,0
376,2020-10-25T00:00:00.000,FSM,0,0
359,2020-01-30T00:00:00.000,FSM,0,0
664,2021-02-12T00:00:00.000,FSM,1,0
791,2020-08-26T00:00:00.000,FSM,0,0
766,2020-03-08T00:00:00.000,FSM,0,0
14,2020-04-23T00:00:00.000,FSM,0,0
698,2020-09-12T00:00:00.000,FSM,0,0
321,2020-09-21T00:00:00.000,GA,322650,6604
815,2020-03-02T00:00:00.000,GA,3,0
429,2020-09-10T00:00:00.000,GA,301835,6204
777,2020-06-11T00:00:00.000,GA,54011,2375
760,2020-04-15T00:00:00.000,GA,14819,579
814,2020-01-26T00:00:00.000,GA,0,0
264,2020-07-25T00:00:00.000,GA,168460,3495
908,2020-11-19T00:00:00.000,GA,437156,9102
910,2021-01-28T00:00:00.000,GA,892957,13827
913,2020-06-10T00:00:00.000,GA,52910,2329
425,2020-07-17T00:00:00.000,GA,137102,3132
35,2020-11-12T00:00:00.000,GA,416217,8881
934,2020-12-21T00:00:00.000,GA,591438,10399
948,2020-11-02T00:00:00.000,GA,391785,7999
24,2020-03-07T00:00:00.000,GA,11,0
263,2020-12-18T00:00:00.000,GA,576537,10332
384,2020-04-20T00:00:00.000,GA,18416,782
458,2021-02-16T00:00:00.000,GA,969702,16174
189,2021-01-25T00:00:00.000,GA,870828,13303
176,2020-08-09T00:00:00.000,GA,221951,4199
215,2020-03-06T00:00:00.000,GA,8,0
724,2020-07-20T00:00:00.000,GA,147804,3176
179,2020-12-03T00:00:00.000,GA,487978,9648
438,2020-03-11T00:00:00.000,GA,55,0
798,2020-05-29T00:00:00.000,GU,172,5
58,2020-12-31T00:00:00.000,GU,7308,121
861,2020-10-02T00:00:00.000,GU,2617,49
850,2020-07-26T00:00:00.000,GU,346,5
163,2020-10-07T00:00:00.000,GU,2934,57
592,2020-02-19T00:00:00.000,GU,0,0
56,2021-01-29T00:00:00.000,GU,7579,129
667,2020-07-22T00:00:00.000,GU,332,5
984,2020-10-28T00:00:00.000,GU,4466,76
710,2020-09-09T00:00:00.000,GU,1846,21
878,2020-05-26T00:00:00.000,GU,170,5
575,2021-01-23T00:00:00.000,GU,7547,128
956,2021-02-03T00:00:00.000,GU,7622,129
658,2020-02-27T00:00:00.000,GU,0,0
